time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-11T17:32:44.612Z,21.1129,99.8924,6.138,4.5,mb,45.0,59.0,0.331,0.65,us,us6000iss8,2022-10-12T12:45:51.040Z,"57 km S of Kēng Tung, Myanmar",earthquake,3.32,4.917,0.108,25.0,reviewed,us,us
2022-10-11T15:48:46.070Z,37.2032,36.2659,10.0,5.0,mww,82.0,53.0,1.679,0.67,us,us6000isrr,2022-10-12T15:31:18.656Z,central Turkey,earthquake,5.76,1.879,0.045,47.0,reviewed,us,us
2022-10-11T14:44:48.324Z,-23.758,-179.9632,538.76,4.9,mb,35.0,87.0,6.264,0.81,us,us6000isri,2022-10-11T15:51:52.040Z,south of the Fiji Islands,earthquake,13.66,11.166,0.102,34.0,reviewed,us,us
2022-10-11T14:32:38.680Z,-59.9081,-26.1767,35.0,4.8,mb,29.0,124.0,7.951,0.3,us,us6000isrb,2022-10-11T15:06:48.040Z,South Sandwich Islands region,earthquake,13.38,1.95,0.114,28.0,reviewed,us,us
2022-10-11T13:51:37.092Z,-14.9297,167.1653,107.05,5.3,mww,51.0,57.0,0.516,0.79,us,us6000isr3,2022-10-12T11:03:50.430Z,"15 km NE of Port-Olry, Vanuatu",earthquake,9.07,5.471,0.059,28.0,reviewed,us,us
2022-10-11T12:51:11.953Z,-10.2162,161.4927,82.61,5.2,mb,76.0,78.0,1.708,0.62,us,us6000isps,2022-10-11T13:11:09.040Z,"53 km WNW of Kirakira, Solomon Islands",earthquake,8.95,6.82,0.038,237.0,reviewed,us,us
2022-10-11T12:24:34.591Z,-6.2988,146.7831,101.247,4.4,mb,41.0,143.0,3.108,0.33,us,us6000ispq,2022-10-11T13:32:48.040Z,"52 km NNW of Lae, Papua New Guinea",earthquake,13.8,9.488,0.098,30.0,reviewed,us,us
2022-10-11T11:27:58.754Z,37.5902,141.9499,35.0,4.6,mb,59.0,96.0,3.17,0.71,us,us6000ispl,2022-10-11T12:37:34.040Z,"near the east coast of Honshu, Japan",earthquake,7.61,1.911,0.092,35.0,reviewed,us,us
2022-10-11T11:03:28.142Z,-1.0534,-13.7121,10.0,5.2,mb,102.0,46.0,6.864,0.63,us,us6000ispj,2022-10-11T11:24:37.040Z,north of Ascension Island,earthquake,9.67,1.839,0.035,268.0,reviewed,us,us
2022-10-11T09:43:23.004Z,18.0212,-103.1905,10.0,4.4,mb,123.0,178.0,2.464,0.54,us,us6000isp7,2022-10-11T12:50:44.420Z,"70 km SE of La Placita de Morelos, Mexico",earthquake,9.99,1.961,0.04,183.0,reviewed,us,us
2022-10-11T08:41:42.432Z,-5.4403,153.1811,23.986,4.9,mb,39.0,116.0,7.153,0.54,us,us6000isp0,2022-10-11T09:05:56.040Z,"157 km SE of Kokopo, Papua New Guinea",earthquake,12.38,5.956,0.083,71.0,reviewed,us,us
2022-10-11T08:17:45.081Z,32.7526,142.3729,10.0,4.8,mb,33.0,136.0,2.182,1.21,us,us6000isnw,2022-10-11T08:58:44.040Z,"Izu Islands, Japan region",earthquake,5.13,1.84,0.1,31.0,reviewed,us,us
2022-10-11T08:10:23.141Z,36.7888,67.0901,65.962,4.9,mb,45.0,77.0,2.75,1.32,us,us6000isnu,2022-10-11T08:26:00.040Z,"9 km NNW of Mazār-e Sharīf, Afghanistan",earthquake,8.34,8.218,0.076,54.0,reviewed,us,us
