ID,Year,Date,state_name,magnitude,fatality_count,property_loss,yearly_tornado_count,start_lon,start_lat,end_long,end_lat,length,width,tornado_path_geom
1607,2011,2011-05-22,Missouri,5,158,2800.1,296616,-94.5932,37.0524,-94.2213,36.9838,21.62,4800,"LINESTRING(-94.5932 37.0524, -94.40725 37.0181, -94.2213 36.9838)"
556,2011,2011-04-27,Alabama,5,72,1290.0,309488,-88.1479,34.1043,-86.1511,35.0857,132.0,6600,"LINESTRING(-88.1479 34.1043, -88.0231 34.1656375, -87.8983 34.226975, -87.7735 34.2883125, -87.6487 34.34965, -87.5239 34.4109875, -87.3991 34.472325, -87.2743 34.5336625, -87.1495 34.595, -87.0247 34.6563375, -86.8999 34.717675, -86.7751 34.7790125, -86.6503 34.84035, -86.5255 34.9016875, -86.4007 34.963025, -86.2759 35.0243625, -86.1511 35.0857)"
550,2011,2011-04-27,Alabama,4,64,2450.0,314625,-87.935,33.0297,-86.7436,33.6311,80.68,7800,"LINESTRING(-87.935 33.0297, -87.786075 33.104875, -87.63715 33.18005, -87.488225 33.255225, -87.3393 33.3304, -87.190375 33.405575, -87.04145 33.48075, -86.892525 33.555925, -86.7436 33.6311)"
1795,2013,2013-05-20,Oklahoma,5,24,2000.0,451537,-97.628,35.284,-97.3999,35.341,13.85,5700,"LINESTRING(-97.628 35.284, -97.3999 35.341)"
2313,2011,2011-04-27,Mississippi,5,23,14.4,303562,-88.445,34.0455,-87.8924,34.3226,37.1,3960,"LINESTRING(-88.445 34.0455, -88.30685 34.114775, -88.1687 34.18405, -88.03055 34.253325, -87.8924 34.3226)"
