Country / Territory,Disaster,Disaster Internal Displacements
Japan,Wildfire,43
Jordan,Flood,2606
Jordan,Storm,160
Kazakhstan,Flood,78499
Kazakhstan,Wildfire,72
Kenya,Drought,2
Kenya,Earthquake,62
Kenya,Flood,1411950
Kenya,Storm,4200
Kenya,Wildfire,780
Kiribati,Flood,85
Kiribati,Storm,2500
Korea,Earthquake,1481
Korea,Flood,20951
Korea,Storm,10911
Korea,Wildfire,8529
Kosovo,Flood,1080
Kyrgyzstan,Earthquake,10000
Kyrgyzstan,Flood,257
Lao PDR,Earthquake,120
Lao PDR,Flood,76044
Lao PDR,Storm,168355
Latvia,Wildfire,24
Lebanon,Flood,1300
Lebanon,Storm,5001
Lebanon,Wildfire,255
Lesotho,Flood,9800
Lesotho,Storm,3330
Liberia,Flood,30730
Liberia,Storm,970
Libya,Flood,8830
Luxembourg,Flood,562
Luxembourg,Storm,190
"Macao, China",Storm,8560
Madagascar,Drought,5890
Madagascar,Flood,57410
Madagascar,Storm,986720
Madagascar,Wildfire,550
Malawi,Earthquake,20600
Malawi,Flood,527796
Malawi,Storm,140640
Malaysia,Flood,781321
Malaysia,Storm,3617
Maldives,Flood,314
Maldives,Storm,76
Mali,Flood,113090
Marshall Islands,Flood,2000
Martinique,Flood,2
Mauritania,Flood,18270
Mauritania,Storm,2900
Mauritius,Flood,482
Mauritius,Storm,5941
Mauritius,Wildfire,49
Mayotte,Storm,10450
Mexico,Earthquake,200582
Mexico,Flood,1361504
Mexico,Storm,899347
Mexico,Volcanic eruption,470
Mexico,Wildfire,6813
"Micronesia, Fed. Sts.",Storm,6800
Moldova,Flood,200
Mongolia,Drought,520
Mongolia,Flood,14013
Mongolia,Storm,1700
Montenegro,Earthquake,6
Montenegro,Flood,2600
Montenegro,Wildfire,2
Morocco,Earthquake,580
Morocco,Flood,22252
Mozambique,Earthquake,460
Mozambique,Flood,553779
Mozambique,Storm,805490
Mozambique,Wildfire,3000
Myanmar,Earthquake,29200
Myanmar,Flood,3361659
Myanmar,Storm,2600218
Myanmar,Wildfire,46
Namibia,Flood,148346
Namibia,Storm,30
Nepal,Earthquake,2669000
Nepal,Flood,909961
Nepal,Storm,23557
Nepal,Wildfire,1276
Netherlands,Flood,51000
Netherlands,Wildfire,4003
New Caledonia,Flood,3
New Caledonia,Storm,6096
New Caledonia,Wildfire,48
New Zealand,Earthquake,4050
New Zealand,Flood,14348
New Zealand,Storm,1438
New Zealand,Volcanic eruption,3
New Zealand,Wildfire,3435
Nicaragua,Earthquake,3500
Nicaragua,Flood,138606
Nicaragua,Storm,261424
Nicaragua,Volcanic eruption,48
Nicaragua,Wildfire,19
Niger,Flood,1859100
Nigeria,Flood,6075972
Nigeria,Storm,19780
North Macedonia,Flood,1650
North Macedonia,Wildfire,80
Northern Mariana Islands,Storm,14995
Norway,Flood,240
Norway,Storm,400
Norway,Wildfire,1514
Oman,Flood,898
Oman,Storm,16180
Pakistan,Drought,270
Pakistan,Earthquake,1093373
Pakistan,Flood,15397572
Pakistan,Storm,61928
Palau,Storm,4110
Palestine,Flood,3130
Palestine,Storm,10040
Palestine,Wildfire,111
Panama,Earthquake,210
Panama,Flood,6701
Panama,Storm,6077
Papua New Guinea,Earthquake,59200
Papua New Guinea,Flood,161316
Papua New Guinea,Storm,8320
Papua New Guinea,Volcanic eruption,27860
Paraguay,Flood,368315
Paraguay,Storm,8520
Paraguay,Wildfire,320
Peru,Earthquake,33363
Peru,Flood,608635
Peru,Storm,14777
Peru,Volcanic eruption,1620
Peru,Wildfire,2583
Philippines,Drought,5400
Philippines,Earthquake,1055731
Philippines,Flood,7321095
Philippines,Storm,44547979
Philippines,Volcanic eruption,721770
Philippines,Wildfire,94
Poland,Flood,30418
Poland,Storm,143
Portugal,Flood,95
Portugal,Storm,712
Portugal,Wildfire,8167
Puerto Rico,Earthquake,11180
Puerto Rico,Storm,86949
Romania,Flood,17230
Romania,Storm,5
Russia,Flood,118102
Russia,Storm,1400
Russia,Wildfire,23702
Russian Federation,Flood,4770
Russian Federation,Wildfire,780
Rwanda,Earthquake,13000
Rwanda,Flood,24707
Rwanda,Storm,58824
R�union,Flood,14
Samoa,Earthquake,5300
Samoa,Flood,139
Samoa,Storm,9065
Saudi Arabia,Flood,26188
Saudi Arabia,Wildfire,6
Senegal,Drought,2
Senegal,Flood,328300
Senegal,Storm,11162
Serbia,Earthquake,1500
Serbia,Flood,37954
Serbia,Wildfire,2
Seychelles,Flood,7
Seychelles,Storm,1120
Sierra Leone,Flood,5300
Sierra Leone,Storm,6200
Sierra Leone,Wildfire,2300
Sint Maarten (Dutch part),Storm,13000
Slovakia,Flood,330
Slovenia,Storm,300
Solomon Islands,Earthquake,7705
Solomon Islands,Flood,10593
Solomon Islands,Storm,7437
Somalia,Drought,1381000
Somalia,Flood,2028505
Somalia,Storm,91560
Somalia,Wildfire,4610
South Africa,Flood,114009
South Africa,Storm,17666
South Africa,Wildfire,14376
South Sudan,Drought,5000
South Sudan,Flood,1893502
South Sudan,Storm,8200
South Sudan,Wildfire,1170
Spain,Earthquake,15000
Spain,Flood,19482
Spain,Storm,816
Spain,Volcanic eruption,7000
Spain,Wildfire,58543
Sri Lanka,Flood,2645191
Sri Lanka,Storm,679336
Sri Lanka,Wildfire,229
St. Kitts and Nevis,Storm,33
St. Lucia,Storm,1355
St. Martin (French part),Storm,11000
St. Vincent and the Grenadines,Flood,50
St. Vincent and the Grenadines,Storm,2940
St. Vincent and the Grenadines,Volcanic eruption,23000
Sudan,Flood,1850830
Suriname,Flood,12800
Sweden,Flood,101
Sweden,Wildfire,1172
Switzerland,Flood,422
Switzerland,Storm,13
Syria,Flood,114811
Syria,Storm,11900
Syria,Wildfire,25000
S�o Tom� and Principe,Flood,500
"Taiwan, China",Earthquake,1585
